"name" "oper_date" "money" "type" "remarks"
"三浦結翔" "2023-3-5 15:45:34" "55379.43" "消费" "测试"
"曹睿" "2023-2-2 13:20:26" "70175.6" "消费" "正式"
"中森結翔" "2023-2-5 09:18:29" "11829.57" "消费" "测试"
"丁杰宏" "2023-4-17 16:13:15" "37638.49" "消费" "正式"
"于子异" "2023-3-30 17:26:33" "83865.88" "消费" "正式"
"唐杰宏" "2023-3-26 19:10:20" "65376.96" "收入" "正式"
"近藤瑛太" "2023-3-3 20:05:48" "24181.61" "消费" "测试"
"柴田樹" "2023-3-26 22:42:54" "50771.32" "消费" "正式"
"石田湊" "2023-4-1 23:58:13" "95392.55" "消费" "正式"
"渡部美月" "2023-2-17 12:19:30" "47759.47" "消费" "测试"
"冯晓明" "2023-3-25 08:10:53" "99098.84" "消费" "正式"
"曹詩涵" "2023-4-1 19:14:41" "91689.02" "收入" "正式"
"曹云熙" "2023-2-14 09:35:35" "75102.99" "消费" "正式"
"汪晓明" "2023-2-27 00:38:43" "82895.95" "消费" "正式"
"汤璐" "2023-2-7 12:43:04" "77659.45" "消费" "正式"
"叶震南" "2023-3-20 10:35:13" "68070.45" "消费" "正式"
"後藤和真" "2023-2-13 02:48:46" "95650.64" "消费" "测试"
"佐野蒼士" "2023-4-15 06:40:44" "83086.61" "收入" "测试"
"郝秀英" "2023-3-17 10:05:05" "92938.16" "消费" "正式"
"雷子异" "2023-1-31 06:55:51" "62930.71" "消费" "正式"
"小島光莉" "2023-2-18 18:32:18" "76136.21" "消费" "测试"
"田中大輔" "2023-3-3 12:21:44" "67897.45" "消费" "测试"
"岩崎花" "2023-2-18 00:17:34" "25514.82" "消费" "正式"
"田中優奈" "2023-2-9 09:29:07" "96849.03" "收入" "测试"
"鈴木凛" "2023-3-21 07:15:26" "9323.02" "消费" "正式"
"熊子韬" "2023-3-10 00:26:12" "65681.29" "消费" "正式"
"夏宇宁" "2023-4-1 18:47:12" "34241.7" "消费" "正式"
"金云熙" "2023-2-27 14:08:14" "75820.79" "消费" "正式"
"木下葵" "2023-1-27 09:01:50" "30915.51" "消费" "正式"
"黎子异" "2023-2-25 13:27:15" "15924.18" "收入" "正式"
"贺睿" "2023-1-24 16:57:03" "47198.25" "消费" "正式"
"侯嘉伦" "2023-2-24 11:53:21" "33819.79" "消费" "正式"
"马安琪" "2023-1-19 13:23:54" "88823.38" "消费" "正式"
"龚嘉伦" "2023-1-23 00:43:45" "7308.88" "消费" "正式"
"苏杰宏" "2023-2-20 19:36:04" "61959.34" "消费" "正式"
"田致远" "2023-2-24 07:43:19" "94725.05" "收入" "正式"
"斎藤花" "2023-1-30 01:39:46" "89611.33" "消费" "正式"
"加藤百花" "2023-3-10 00:15:50" "40195.76" "消费" "测试"
"山崎悠人" "2023-3-22 04:18:55" "12099.03" "消费" "测试"
"小川七海" "2023-1-20 08:15:55" "23111.83" "消费" "测试"
"横山光" "2023-1-24 08:15:05" "34464.52" "消费" "正式"
"徐子异" "2023-3-30 01:50:38" "57765.75" "收入" "正式"
"史云熙" "2023-2-14 12:30:27" "95295.07" "消费" "正式"
"顾安琪" "2023-3-26 08:43:47" "91907.28" "消费" "正式"
"斎藤百恵" "2023-4-18 01:14:50" "53923.52" "消费" "测试"
"林愛梨" "2023-4-11 11:51:10" "62949.95" "消费" "正式"
"大野大和" "2023-2-17 14:32:18" "22974.2" "消费" "测试"
"河野百花" "2023-3-16 16:11:36" "85002.05" "收入" "测试"
"郝岚" "2023-3-10 10:00:23" "8944.73" "消费" "正式"
"中川桜" "2023-3-8 02:30:06" "85882.94" "消费" "正式"
"胡杰宏" "2023-2-23 15:20:37" "83276.61" "消费" "正式"
"上田光" "2023-2-6 19:58:56" "49016.21" "消费" "正式"
"林岚" "2023-3-4 21:43:33" "80028.34" "消费" "正式"
"高田蒼士" "2023-4-7 06:56:16" "20485.84" "收入" "测试"
"吕杰宏" "2023-4-6 16:10:00" "27681.12" "消费" "正式"
"桜井百花" "2023-1-27 14:50:32" "26355.24" "消费" "测试"
"赵安琪" "2023-1-26 11:35:47" "99630.4" "消费" "正式"
"韩杰宏" "2023-3-12 09:51:19" "80600.62" "消费" "正式"
"唐宇宁" "2023-3-20 09:51:23" "36243.84" "消费" "正式"
"菅原架純" "2023-1-26 20:55:05" "36975.12" "收入" "测试"
"千葉悠人" "2023-3-17 17:50:58" "23559.57" "消费" "测试"
"李震南" "2023-3-7 00:24:36" "88190.38" "消费" "正式"
"石田健太" "2023-2-26 06:50:52" "92540.17" "消费" "测试"
"柴田光" "2023-4-17 20:49:05" "28324.77" "消费" "正式"
"雷致远" "2023-2-25 00:37:12" "93872.71" "消费" "正式"
"韩嘉伦" "2023-3-7 23:13:12" "7218.92" "收入" "正式"
"斉藤光莉" "2023-2-10 01:55:25" "47365.13" "消费" "测试"
"任嘉伦" "2023-4-2 07:19:20" "50330.67" "消费" "正式"
"丸山和真" "2023-3-4 16:28:29" "11863.08" "消费" "测试"
"野口舞" "2023-4-5 11:31:39" "24757.5" "消费" "正式"
"夏秀英" "2023-2-26 05:56:06" "78795.7" "消费" "正式"
"曾杰宏" "2023-4-2 14:05:24" "5718.5" "收入" "正式"
"黎睿" "2023-3-28 13:34:39" "64303.4" "消费" "正式"
"吕璐" "2023-2-23 01:19:17" "87678.99" "消费" "正式"
"佐野陽太" "2023-4-4 05:27:59" "36659.12" "消费" "测试"
"鈴木葉月" "2023-3-10 08:19:34" "58504.61" "消费" "测试"
"杜云熙" "2023-3-23 03:30:20" "74143.58" "消费" "正式"
"伊藤一輝" "2023-3-3 19:46:32" "90794.55" "收入" "测试"
"田致远" "2023-4-15 07:53:44" "94173.51" "消费" "正式"
"大塚花" "2023-4-15 04:08:25" "36813.88" "消费" "正式"
"曾秀英" "2023-4-2 14:57:58" "59244.47" "消费" "正式"
"郝杰宏" "2023-3-4 01:06:28" "53393.91" "消费" "正式"
"徐子韬" "2023-3-29 00:28:27" "50577" "消费" "正式"
"方晓明" "2023-2-15 15:33:22" "63098.72" "收入" "正式"
"叶嘉伦" "2023-2-18 19:55:36" "26171.75" "消费" "正式"
"竹内美咲" "2023-3-24 10:13:18" "50007.01" "消费" "测试"
"山本大和" "2023-4-3 08:28:59" "79332.87" "消费" "测试"
"彭岚" "2023-2-12 06:22:32" "63971.59" "消费" "正式"
"曾詩涵" "2023-1-23 13:47:27" "94163.1" "消费" "正式"
"三浦悠人" "2023-3-17 20:08:15" "41430.84" "收入" "测试"
"龚致远" "2023-4-13 23:12:50" "22524.21" "消费" "正式"
"青木湊" "2023-3-28 00:41:17" "29217.03" "消费" "正式"
"青木和真" "2023-2-4 17:16:59" "80996.78" "消费" "测试"
"马致远" "2023-3-18 09:27:16" "25116.63" "消费" "正式"
"范秀英" "2023-1-19 04:43:48" "84134.71" "消费" "正式"
"近藤明菜" "2023-2-12 06:33:20" "74257.34" "收入" "测试"
"龚詩涵" "2023-4-13 08:32:37" "44435.94" "消费" "正式"
"郭安琪" "2023-3-11 19:20:45" "8319.62" "消费" "正式"
"汪睿" "2023-3-7 22:06:10" "99797.56" "消费" "正式"
"坂本七海" "2023-2-17 20:22:07" "22046.31" "消费" "测试"
"西村大地" "2023-3-30 19:14:02" "28829.69" "消费" "测试"
"清水瑛太" "2023-4-8 08:09:14" "99493.14" "收入" "测试"
"山本架純" "2023-4-6 19:40:34" "93655.28" "消费" "测试"
"内田玲奈" "2023-3-17 00:43:35" "15057.62" "消费" "测试"
"林安琪" "2023-2-21 06:42:37" "77932.98" "消费" "正式"
"竹内美羽" "2023-3-19 20:28:23" "25694.79" "消费" "测试"
"赵詩涵" "2023-1-28 00:09:20" "50506.98" "消费" "正式"
"萧晓明" "2023-1-19 14:43:46" "82890.01" "收入" "正式"
"孔秀英" "2023-2-11 03:27:36" "22890.88" "消费" "正式"
"原田凛" "2023-4-12 14:38:35" "74751.8" "消费" "正式"
"加藤美月" "2023-4-11 15:17:04" "76423.89" "消费" "测试"
"村田翼" "2023-4-2 04:35:15" "37235.87" "消费" "正式"
